Unité;USD;JPY;DKK;GBP;SEK;CHF;ISK;NOK;BGN;CYP;CZK;EEK;HUF;LTL;LVL;MTL;PLN;RON;SIT;SKK;TRY;AUD;CAD;HKD;NZD;SGD;KRW;ZAR;CNY;PHP;MYR;THB;RUB;IDR;HRK;BRL;MXN;INR;ILS
04/02/1999;1,12630;127,65000;7,43620;0,68940;8,89900;1,60170;79,32000;8,64250;ND;0,58072;37,15800;15,64660;248,77000;4,50790;0,64490;0,43590;4,15120;1,36550;190,42370;42,41900;0,38020;1,75410;1,69510;8,72960;2,04610;1,90090;1318,51000;6,79220;ND;43,48100;4,28060;41,39150;26,13370;9771,98000;ND;ND;11,40070;ND;ND
05/02/1999;1,12920;127,95000;7,43580;0,68850;8,87200;1,60120;79,44000;8,67250;ND;0,58089;37,36500;15,64660;248,91000;4,51890;0,64510;0,43600;4,17530;1,38190;190,27910;42,45800;0,38240;1,72940;1,67650;8,75200;2,04310;1,90700;1321,34000;6,81190;ND;43,58900;4,29120;41,53390;26,24950;9880,95000;ND;ND;11,39420;ND;ND
08/02/1999;1,12460;127,82000;7,43550;0,68880;8,85700;1,60180;79,35000;8,62000;ND;0,58080;37,71000;15,64660;248,64000;4,49770;0,64360;0,43560;4,19580;1,37180;190,33250;42,55700;0,38230;1,72300;1,67250;8,71440;2,01490;1,90020;1322,19000;6,69590;ND;44,30800;4,27340;41,52970;25,96030;10008,50000;ND;ND;11,32430;ND;ND
09/02/1999;1,13330;129,91000;7,43560;0,69110;8,90700;1,59990;79,58000;8,65050;ND;0,58089;38,35800;15,64660;249,75000;4,53290;0,65090;0,43740;4,25600;1,37240;190,65920;42,69000;0,38440;1,75480;1,69440;8,78410;2,04110;1,91820;1332,26000;6,89900;ND;44,82400;4,30680;42,02470;26,00480;9916,83000;ND;ND;11,45740;ND;ND
10/02/1999;1,13420;130,73000;7,43470;0,69540;8,93300;1,59630;79,65000;8,64250;ND;0,58092;38,13500;15,64660;251,05000;4,53670;0,65390;0,43780;4,24480;1,37730;191,45400;42,70700;0,38520;1,75690;1,69450;8,78830;2,05490;1,92020;1335,81000;6,93610;ND;44,29300;4,31020;42,05410;25,92220;9756,28000;ND;ND;11,44460;ND;ND
11/02/1999;1,13120;129,35000;7,43470;0,69750;8,91900;1,59660;79,70000;8,64350;ND;0,58088;37,94000;15,64660;249,64000;4,52770;0,64980;0,43750;4,25200;1,38480;190,19970;42,82600;0,38490;1,74270;1,68500;8,77010;2,04810;1,91040;1329,97000;6,85750;ND;43,60100;4,30070;41,78250;26,09930;9844,50000;ND;ND;11,29210;ND;ND
12/02/1999;1,12440;128,92000;7,43470;0,69170;8,93050;1,59920;79,61000;8,60750;ND;0,58065;37,86000;15,64660;249,32000;4,50110;0,64700;0,43600;4,23020;1,36640;190,43830;42,99700;0,38700;1,74590;1,67520;8,71630;2,05500;1,90370;1322,20000;6,85600;ND;43,30300;4,27400;41,53150;26,00430;9841,58000;ND;ND;11,25880;ND;ND
15/02/1999;1,12380;129,31000;7,43480;0,68950;8,88150;1,59500;79,51000;8,59300;ND;0,58072;38,19700;15,64660;249,66000;4,49600;0,64660;0,43570;4,26120;1,36630;189,56120;42,93100;0,38630;1,73530;1,67810;8,70860;2,05310;1,89730;1320,91000;6,88190;ND;43,42900;4,26430;41,27170;26,04060;9663,40000;ND;ND;11,18180;ND;ND
16/02/1999;1,11760;131,82000;7,43470;0,68540;8,85300;1,59750;79,68000;8,62050;ND;0,58052;38,23000;15,64660;249,56000;4,47160;0,64580;0,43770;4,27470;1,36940;190,34820;42,94600;0,38560;1,74670;1,68070;8,66030;2,08540;1,89760;1313,13000;6,91980;ND;43,02600;4,24110;41,24320;25,85450;9778,57000;ND;ND;11,10950;ND;ND
17/02/1999;1,12530;133,48000;7,43510;0,68730;8,90700;1,59730;79,92000;8,69550;ND;0,58065;37,97000;15,64660;251,09000;4,50580;0,64920;0,43550;4,27900;1,37940;190,15300;42,96400;0,38820;1,77510;1,68800;8,72230;2,09200;1,91170;1323,11000;6,89810;ND;43,57800;4,27340;41,60760;26,07940;9852,95000;ND;ND;11,18170;ND;ND
18/02/1999;1,12320;134,40000;7,43480;0,68710;8,92750;1,59820;79,93000;8,73850;ND;0,58069;37,99300;15,64660;252,06000;4,49420;0,64910;0,43610;4,28400;1,38570;189,77140;43,07300;0,38810;1,76870;1,67600;8,70200;2,08420;1,90990;1327,45000;6,95260;ND;43,46600;4,26800;41,61090;25,92790;9911,38000;ND;ND;11,11360;ND;ND
19/02/1999;1,11630;133,97000;7,43460;0,68380;8,91100;1,59820;79,75000;8,70750;ND;0,58048;37,77300;15,64660;251,88000;4,46820;0,64670;0,43400;4,25890;1,38260;189,73360;43,62600;0,38880;1,75020;1,66160;8,65510;2,05620;1,90670;1345,43000;6,95730;ND;43,45100;4,23900;41,85210;25,82250;9854,45000;ND;ND;11,08070;ND;ND
22/02/1999;1,09920;133,61000;7,43450;0,67890;8,90750;1,59860;79,57000;8,68850;ND;0,58000;37,87300;15,64660;250,12000;4,39970;0,63970;0,43190;4,26080;1,36800;189,41690;43,88800;0,38610;1,72370;1,63510;8,51850;2,03970;1,88450;1337,48000;6,85100;ND;43,12600;4,17790;41,45480;25,23790;9785,12000;ND;ND;10,92430;ND;ND
